message_id,date,time,utc,from_name,text,clean_text,word_count
message2536,26.6.2025,19:32:15,UTC+01:00,,"🚨 ¿Sabes qué es el Tratado de Pandemias?
📺 NUEVO VÍDEO EN MI CANAL SE YOUTUBE: En este vídeo te explico cómo funciona este tratado, qué pretende, y por qué desde VOX lo vamos a combatir con todas nuestras fuerzas:
👉
https://www.youtube.com/watch?v=rWUXgIKQOFM
🇪🇸 No vamos a permitir que vuelvan a encerrarte caprichosamente en tu casa violando tu libertad mientras ellos se reparten el poder.
Difunde. Es urgente.",sabes qué es el tratado de pandemias nuevo vídeo en mi canal se youtube en este vídeo te explico cómo funciona este tratado qué pretende y por qué desde vox lo vamos a combatir con todas nuestras fuerzas,38
message2531,26.6.2025,10:56:35,UTC+01:00,Jorge Buxadé 🇪🇸,"Hoy hemos inaugurado la IV Cumbre de la Iberosfera. Un foro que no es solo debate: es resistencia, es acción y es unidad entre pueblos hermanos que no se resignan al sometimiento.
Mientras las élites destruyen nuestras naciones desde dentro, nosotros decimos alto y claro: no venimos a gestionar la miseria, venimos a combatirla. No creemos en el falso consenso ni en los burócratas sumisos. Creemos en el sacrificio, en el servicio y en la defensa sin complejos de nuestra historia.
Nos quieren sin pasado para que no tengamos futuro. Por eso nosotros reivindicamos nuestra memoria, nuestras raíces y nuestra civilización hispánica. No hay tiranía capaz de borrar siglos de historia común, de fe, de lengua, de cultura y de lucha.
La Iberosfera está despertando. Y esta cumbre es solo el principio. ¡Gracias Hermann Tertsch!
📺 Podéis seguir las sesiones en directo aquí, y si queréis la gorra que llevo, vente al Hotel NH Ventas Madrid, que la entrada es libre.
👉
https://youtube.com/live/GY0GjUD_cRw?feature=share
¡Un fuerte abrazo!
🇪🇸🇲🇽🇬🇹🇸🇻🇭🇳🇳🇮🇨🇷🇵🇦🇨🇺🇩🇴🇵🇷🇨🇴🇻🇪🇪🇨🇵🇪🇧🇴🇵🇾🇺🇾🇨🇱🇦🇷🇧🇷🇫🇷🇵🇹🇭🇺🇵🇱🇮🇹",hoy hemos inaugurado la iv cumbre de la iberosfera un foro que no es solo debate es resistencia es acción y es unidad entre pueblos hermanos que no se resignan al sometimiento mientras las élites destruyen nuestras naciones desde dentro nosotros decimos alto y claro no venimos a gestionar la miseria venimos a combatirla no creemos en el falso consenso ni en los burócratas sumisos creemos en el sacrificio en el servicio y en la defensa sin complejos de nuestra historia nos quieren sin pasado para que no tengamos futuro por eso nosotros reivindicamos nuestra memoria nuestras raíces y nuestra civilización hispánica no hay tiranía capaz de borrar siglos de historia común de fe de lengua de cultura y de lucha la iberosfera está despertando y esta cumbre es solo el principio gracias hermann tertsch podéis seguir las sesiones en directo aquí y si queréis la gorra que llevo vente al hotel nh ventas madrid que la entrada es libre,160
message2714,26.9.2025,16:45:59,UTC+01:00,Jorge Buxadé 🇪🇸,"🔴 ALERTA ROBO Y ESTAFA 🔴
La pasada legislatura, el
#Bipartidismo
impuso el
#PactoVerde
. Una de las medidas fue incrementar brutalmente el “comercio de derechos emisión” (ETS) imponiéndolo a los puertos europeos.
Parece que el CO2 está mal en un lado del estrecho pero bien en Marruecos. Sinverguenzas en el bipartidismo.
Nosotros, en
@VOX_Europa_
votamos NO y denunciamos que puertos como Tánger iban a beneficiarse en perjuicio de nuestros puertos, nuestras empresas y trabajadores. Está sucediendo. Es un puñetero robo.
Y ayer el PP decía que le parecía muy mal. ¿No se acordaban que ellos son los culpables? Es una estafa. Son una estafa.
No a los derechos de emisión. Si al empleo de los españoles.",alerta robo y estafa la pasada legislatura el bipartidismo impuso el pactoverde una de las medidas fue incrementar brutalmente el comercio de derechos emisión ets imponiéndolo a los puertos europeos parece que el co2 está mal en un lado del estrecho pero bien en marruecos sinverguenzas en el bipartidismo nosotros en vox_europa_ votamos no y denunciamos que puertos como tánger iban a beneficiarse en perjuicio de nuestros puertos nuestras empresas y trabajadores está sucediendo es un puñetero robo y ayer el pp decía que le parecía muy mal no se acordaban que ellos son los culpables es una estafa son una estafa no a los derechos de emisión si al empleo de los españoles,114
message2716,26.9.2025,17:28:50,UTC+01:00,Jorge Buxadé 🇪🇸,"10 años de
#Agenda2030
Nada que celebrar
Úrsula, el PP, el PSOE, Soros, Gates, la ONU con sus redes, las élites contra el pueblo.
¡Por España y su soberanía!
¡Por la Europa de las Patrias!",10 años de agenda2030 nada que celebrar úrsula el pp el psoe soros gates la onu con sus redes las élites contra el pueblo por españa y su soberanía por la europa de las patrias,35
message1934,27.1.2025,20:51:11,UTC+01:00,Jorge Buxadé 🇪🇸,"🔴 Apúntate a la Cumbre Patriota de Madrid el próximo 8 de febrero 🔴
⬇️
https://x.com/santi_abascal/status/1883964755523842301?s=46&t=4Dpj8sxD4MIM1vxPLSBcFQ",apúntate a la cumbre patriota de madrid el próximo 8 de febrero,12
message1933,27.1.2025,19:44:35,UTC+01:00,,"¡¡¡Atentos a esto!!! El Patrimonio de la Nación no se regala, y menos a un partido, y menos aún a un partido separatista, con fraude, mentiras, contra sentencias firmes y contra su propia ley sectaria. ¡Hasta el final! A derrocar al autócrata
🔴
#URGENTE
VOX se querella contra el Gobierno por prevaricar con la entrega del palacete de París al PNV y exige su devolución.
“El Estado debe proceder a la inmediata recuperación de ese inmueble que pertenece a todos los españoles”.",atentos a esto el patrimonio de la nación no se regala y menos a un partido y menos aún a un partido separatista con fraude mentiras contra sentencias firmes y contra su propia ley sectaria hasta el final a derrocar al autócrata urgente vox se querella contra el gobierno por prevaricar con la entrega del palacete de parís al pnv y exige su devolución el estado debe proceder a la inmediata recuperación de ese inmueble que pertenece a todos los españoles,81
message1932,27.1.2025,19:43:34,UTC+01:00,Jorge Buxadé 🇪🇸,"Por aquello de gestionar la agenda con tiempo!!!!
🔴
@PatriotsEU
anuncia su primera Cumbre pública que se celebrará en Madrid los días 7 y 8 de febrero bajo la presidencia de
@Santi_ABASCAL
y con la presencia de líderes como
@MLP_officiel
y
@PM_ViktorOrban
:
@joseafuster
“Hay alternativa a la coalición de populares y socialistas en Bruselas”.
#HacerEuropaGrandeOtraVez",por aquello de gestionar la agenda con tiempo patriotseu anuncia su primera cumbre pública que se celebrará en madrid los días 7 y 8 de febrero bajo la presidencia de santi_abascal y con la presencia de líderes como mlp_officiel y pm_viktororban joseafuster hay alternativa a la coalición de populares y socialistas en bruselas hacereuropagrandeotravez,54
message1743,27.11.2024,11:05:33,UTC+01:00,,"🔴 En su turno, Irache, presidente del grupo socialista europeo confirma que tienen un acuerdo y advierte al PPE, con el tono chusquero de los zurdos, que esos acuerdos se tienen para cumplirse. Por eso, Ribera es Vicepresidente.",en su turno irache presidente del grupo socialista europeo confirma que tienen un acuerdo y advierte al ppe con el tono chusquero de los zurdos que esos acuerdos se tienen para cumplirse por eso ribera es vicepresidente,37
message1741,27.11.2024,11:04:40,UTC+01:00,,"🔴 El presidente del Partido Popular Europeo confirmando que la Comisión Von der Leyen II es fruto del pacto entre populares, socialistas y progres (liberales aquí les llaman). Supongo que
@COPE
cambiará el editorial con el que llevan desinformando 10 días seguidos",el presidente del partido popular europeo confirmando que la comisión von der leyen ii es fruto del pacto entre populares socialistas y progres liberales aquí les llaman supongo que cope cambiará el editorial con el que llevan desinformando 10 días seguidos,41
message1740,27.11.2024,11:04:18,UTC+01:00,Jorge Buxadé 🇪🇸,"El discurso de Úrsula Von der Leyen, Weber (PP) e Irache (PSOE) demuestra que:
❌ sus acuerdos contra los europeos  siguen vigentes.
❌ le han declarado la guerra a los patriotas
@PatriotsEP",el discurso de úrsula von der leyen weber pp e irache psoe demuestra que sus acuerdos contra los europeos siguen vigentes le han declarado la guerra a los patriotas patriotsep,30
message1838,27.12.2024,18:01:54,UTC+01:00,Jorge Buxadé 🇪🇸,"● Marruecos va a invadir aguas españolas y a explotar nuestros recursos y el gobierno de Sánchez se lo está permitiendo. Hilo va:
● España tiene presentado desde 2014 una propuesta para delimitar sus fronteras marítimas al oeste de las Islas Canarias como extensión de su plataforma continental. La zona ampliada incluye el monte submarino Trópico, rico en telurio, cobalto o níquel. Este monte, al sur de las Islas Canarias y frente a la costa del Sahara Occidental, en ningún caso debería integrarse en el espacio marítimo de Marruecos.
● ¿Por qué es importante tener en tu territorio el monte Trópico? Porque alberga el 10% de todas las reservas mundiales conocidas de telurio, empleado en la fabricación de paneles solares o chips electrónicos. Y porque el cobalto se utiliza para fabricar baterías o armamento. Es decir, son minerales estratégicos.
https://www.eldebate.com/sociedad/20230321/que-telurio-mineral-estrategico-presente-canarias_101375.html
● ¿Qué está haciendo Marruecos para quedarse con él? En enero del 2020 el Parlamento marroquí aprobó delimitar sus fronteras marítimas, solapándolas con las aguas españolas que rodean Canarias. Además, se apropiaba de las aguas territoriales del Sahara Occidental, que Sánchez ha entregado a su amigo Mohamed VI.
Con esta legislación, Marruecos se preparaba para hacer una presentación formal de su plataforma continental ante la comisión competente de la ONU, que se solaparía con la presentada por España en 2014.
https://elfarodeceuta.es/marruecos-ley-delimita-frontera-maritima/
● A principios de febrero de 2023 Sánchez y el jefe del gobierno marroquí (esta vez el sátrapa Mohamed VI decidió humillar a España y ausentarse de la reunión, y Sánchez, como siervo obediente, no rechistó) se reunieron en Rabat para no hablar de la frontera marítima, si no de dinero y de abrir las puertas a los inmigrantes que traen las mafias de tráfico de personas a las que Marruecos permite operar en su territorio.
● Marruecos no es un socio fiable. Cada vez que le interesa presionar a España abre sus cárceles, monta a los presos en pateras y los manda a España.
https://gaceta.es/espana/marruecos-libera-a-casi-27-000-presos-en-cinco-anos-estan-vaciando-las-carceles-y-metiendoles-en-pateras-20240629-0530/
● Pero Sánchez es dócil con su amo y responde con generosidad. Ruina para los agricultores y chorros de oro para los marroquíes. Inseguridad en nuestras calles y cárceles vacías en Marruecos. Nos prohibimos de explotar nuestros propios recursos naturales para depender energéticamente de países gobernados por tiranos.
https://gaceta.es/espana/el-gobierno-de-sanchez-destina-250-millones-a-marruecos-para-financiar-una-desaladora-e-impulsar-la-agricultura-marroqui-20240619-1220/
● El pasado octubre un medio marroquí publicaba que era inminente un acuerdo entre los gobiernos de España y Marruecos para la explotación del monte Trópico. ¿Será verdad? Pues no lo sabemos, pero podemos esperar cualquier cosa: renunciar al territorio, ceder los derechos de explotación o mantener el conflicto en un limbo permanente que termine beneficiando a Marruecos, como está ocurriendo con el Sahara Occidental.
https://www.huffingtonpost.es/global/se-filtra-acuerdo-historico-marruecos-espana-proteger-macro-yacimiento-mineral-clave.html
● ¿Qué se puede esperar de un gobierno que no defiende sus fronteras, su territorio (que pregunten a los vecinos de Ceuta y Melilla), que prohíbe explotar sus propios recursos, que financia industrias estratégicas de terceros países mientras abandona las propias, que cede ante chantajistas ajenos y propios, y que está dispuesto a todo por mantenerse en el poder? Corrupción, dependencia, cesiones y ruina.
● Hoy VOX Europa apoya una carta de un colega griego sobre un caso similar de Turquía. Tiranos que se aprovechan del buenismo de unos, el pasotismo de otros, y la falta de patriotismo de nuestros gobernantes",marruecos va a invadir aguas españolas y a explotar nuestros recursos y el gobierno de sánchez se lo está permitiendo hilo va españa tiene presentado desde 2014 una propuesta para delimitar sus fronteras marítimas al oeste de las islas canarias como extensión de su plataforma continental la zona ampliada incluye el monte submarino trópico rico en telurio cobalto o níquel este monte al sur de las islas canarias y frente a la costa del sahara occidental en ningún caso debería integrarse en el espacio marítimo de marruecos por qué es importante tener en tu territorio el monte trópico porque alberga el 10 de todas las reservas mundiales conocidas de telurio empleado en la fabricación de paneles solares o chips electrónicos y porque el cobalto se utiliza para fabricar baterías o armamento es decir son minerales estratégicos,136
message1837,27.12.2024,10:00:08,UTC+01:00,,"La energía encarece la producción industrial tras 20 meses. Es un modelo energético fallido; que nos somete al viento y a los vaivenes internacionales. Sin nuclear, hidráulica secuestrada y renunciando por planificación fanática a los fósiles, nada irá bien.",la energía encarece la producción industrial tras 20 meses es un modelo energético fallido que nos somete al viento y a los vaivenes internacionales sin nuclear hidráulica secuestrada y renunciando por planificación fanática a los fósiles nada irá bien,39
message2932,27.12.2025,00:06:24,UTC+01:00,Jorge Buxadé 🇪🇸,"📰BLOG: Anatomía de un instante: militares conspiradores y un Carrillo blanqueado
En la serie se dice que las matanzas de Paracuellos se ciñeron a la ejecución de ""fascistas y militares rebeldes"", algo que se aleja de los sucesos históricos
🖋️ Juan Manuel Sayago
https://fundaciondisenso.org/anatomia-de-un-instante-militares-conspiradores-y-un-carrillo-blanqueado/",blog anatomía de un instante militares conspiradores y un carrillo blanqueado en la serie se dice que las matanzas de paracuellos se ciñeron a la ejecución de fascistas y militares rebeldes algo que se aleja de los sucesos históricos juan manuel sayago,42
